URI,Mementos,Creation Date,Age
http://investmentwatchblog.com/,287,2010-02-12T22:06:49,1316
http://whithererehwon.wordpress.com/,2,2012-09-22T23:02:43,363
http://maxcouti.blogspot.com/,23,2008-05-18T15:07:07,1952
http://kevskewl.wordpress.com/,2,2012-01-10T04:06:47,620
http://www.marketing-projects.biz/,13,2010-02-07T20:35:55,1322
http://www.hiphoptima.com/,1,2013-01-01T18:43:41,263
http://www.matariyeh.com/,33,2001-04-04T07:06:09,4553
http://promarketadvisors.com/,9,2010-10-30T04:34:16,1057
http://www.deannafry.tv/,1,2013-07-03T16:17:35,80
http://www.rescueops.org/,4,2012-07-24T00:45:46,424
http://nafsania.blogspot.com/,1,2011-04-19T16:00:07,886
http://glass7steagall7command7post.wordpress.com/,1,2012-11-13T15:27:35,312
http://www.onenewsnow.com/,633,2007-01-22T13:16:29,2434
http://wikileaks.ch/,611,2008-09-21T04:41:26,1826
http://stephan.sugarmotor.org/,95,2001-02-21T21:50:19,4595
http://www.vinsure.com/,167,2004-04-12T14:26:46,3449
http://www.feardepartment.com/,53,2010-04-13T09:14:44,1257
http://www.lobbyforcyprus.org/,275,1998-02-12T08:18:04,5700
http://www.GOPBriefingRoom.com/,49,2009-05-24T15:21:23,1581
http://terrybeanpolitics.com/,1,2013-02-03T23:00:44,229
http://shashankjoshi.wordpress.com/,38,2010-05-21T03:19:21,1219
http://marchingwildly.wordpress.com/,5,2010-02-28T08:49:21,1301
http://tomasiseeitnow.com/,2,2010-01-02T19:28:37,1358
http://russiansphinx.blogspot.com/,73,2010-01-19T10:36:55,1341
http://surityltd.com/,2,2012-08-19T02:40:16,398
http://www.pennlive.com/,1547,1999-11-10T07:36:48,5064
http://leejohnbarnes.blogspot.com/,26,2009-01-27T05:25:39,1698
http://devizesmeltingpot.blogspot.com/,36,2004-09-26T13:13:05,3282
http://www.globalreport.org/usa/,2,2013-05-09T13:43:21,135
http://www.eka.coop/,7,2013-03-18T00:39:17,187
http://sfv911.brianbrown.net/,1,2013-08-20T16:49:10,32
http://knowledgeempire.org/,6,2010-09-15T00:20:55,1102
http://www.lifecellskin.com/?ref=353f8a60,156,2007-01-26T19:08:14,2430
http://philservicecorp.com/planetphils/index.html,7,2008-12-05T10:06:14,1751
http://www.eretzyisrael.org/,7,2011-10-28T11:58:29,694
http://www.mobiledoctors.co/,22,2013-03-28T06:36:14,177
http://wordassociation1.net/,52,2003-01-17T06:50:09,3900
http://xeeme.com/igeldard,1,2012-09-01T23:28:34,384
http://ddsnorth.tumblr.com/,3,2012-06-28T00:00:00,450
http://www11.ocn.ne.jp/~hotmenu/,31,2011-07-24T06:59:17,790
http://www.chasbass.blogs.com/,26,2004-06-06T12:25:55,3394
http://www.theprovince.com/index.html,1322,2008-12-03T10:32:27,1753
http://www.abc27.com/,636,1999-10-11T05:55:19,5094
http://ufo4u.blogspot.de/,1,2012-06-08T09:23:55,470
http://jjwvanwaning.wordpress.com/,2,2012-02-11T13:33:09,588
http://www.myitworks.com/,216,2003-03-12T10:44:14,3846
http://waynecookmusic.vpweb.com/,1,2013-05-09T02:20:46,135
http://word.reneodeay.com/,22,2007-05-14T09:37:41,2322
http://www.TheResident.net/,180,2003-06-08T11:45:38,3758
http://www.bicom.org.uk/,208,2002-05-28T17:37:59,4134
http://cinegoon.wordpress.com/,1,2013-07-02T18:48:38,81
http://www.rtcp24.com/,3,2013-04-08T15:42:24,166
http://pulpnews.com/,31,2001-04-01T15:30:51,4556
http://scoutcommsusa.com/,12,2011-01-14T02:20:38,981
http://www.kcbd.com/,817,1998-01-29T09:41:56,5714
http://danielgaitan.com/,5,2011-11-11T17:43:11,680
http://freerepublic.com/tag/*/index,906,2008-04-10T16:52:09,1990
http://athens.usembassy.gov/,268,2003-07-24T08:36:52,3712
http://grasswire.com/,11,2012-06-07T23:03:14,470
http://www.liccommunity.org.uk/,19,2008-12-08T06:12:07,1748
http://newsfromneptune.com/,63,2004-06-03T11:39:08,3397
http://tachlis.wordpress.com/,8,2010-11-28T02:54:25,1028
http://legationstseenee.blogspot.com/,1,2013-05-16T12:29:00,128
http://nb4s.wordpress.com/,24,2010-03-05T07:20:50,1296
http://beforeitsnews.com,331,2009-01-26T03:34:49,1699
http://khaneliegohar.wordpress.com/,1,2012-08-14T13:56:32,403
http://rafagasegunda.blogspot.com/,19,2009-11-10T12:32:18,1411
http://quietmike.org/,10,2013-04-17T09:56:22,157
http://cosmoscon.com/,70,2001-01-24T06:15:00,4623
http://www.porteable.com/,1,2013-07-15T20:08:00,68
http://eurobankaz.com/,16,2010-08-28T06:37:46,1120
http://devans-cosmos.blogspot.com/,5,2007-07-29T13:37:54,2246
http://transformativepolitics.blogspot.com/,1,2013-04-23T03:12:21,151
http://180dfo.com/,19,2012-01-09T08:11:16,621
http://passionsproductions.com/,72,2005-10-24T01:01:08,2889
http://www.travel-trick.com/,35,2010-06-13T16:08:00,1196
http://rethinkingsecurity.tumblr.com/,43,2011-08-24T22:57:11,758
http://www.eveningsun.com/,703,1999-01-25T09:51:57,5353
http://icogblogs.com/riesgos,55,2007-05-19T11:27:39,2317
http://www.cpi-team.com/,9,2004-03-22T00:53:08,3470
http://earltomlinson.com/,4,2008-12-04T08:52:25,1752
