ID,COUNT
1,244
2,575
3,421
4,539
5,784
6,317
7,448
8,236
9,561
10,833
11,752
12,763
13,155
14,195
15,0
16,555
17,404
18,242
19,425
20,366
21,321
22,1194
23,259
24,427
25,297
26,400
27,592
28,424
29,555
30,97
31,387
32,0
33,622
34,337
35,496
36,705
37,819
38,229
39,1521
40,324
41,208
42,619
43,227
44,3187
45,351
46,181
47,104
48,295
49,233
50,348
51,87
52,1512
53,0
54,0
55,190
56,363
57,62
58,315
59,449
60,186
61,0
62,380
63,297
64,359
65,274
66,245
67,425
68,562
69,275
70,240
71,510
72,409
73,245
74,1626
75,58
76,89
77,278
78,30
79,580
80,197
81,321
82,276
83,68
84,168
85,182
86,124
87,233
88,552
89,0
90,131
91,615
92,1346
93,436
94,770
95,322
96,93
97,0
98,94
99,106
100,568
101,170
102,143
103,128
104,220
105,312
106,844
107,255
108,420
109,624
110,204
111,576
112,524
113,168
114,873
115,231
116,68
117,443
118,65
119,0
120,241
121,86
122,144
123,0
124,54
125,172
126,60
127,250
128,43
129,183
130,909
131,94
132,38
133,528
134,0
135,0
136,40
137,80
138,108
139,231
140,458
141,41
142,42
143,235
144,327
145,15
146,187
147,207
148,165
149,7
150,77
151,308
152,415
153,111
154,328
155,123
156,104
157,538
158,147
159,353
160,59
161,41
162,96
163,85
164,25
165,39
