Blog	two	than	our	other	many	would	today	don	last	back	way	day	world	work	also	see	post	them	any	while	because	video	only	good	know	want	best	well	need	three	use	could	too	long	read	those	should	made	down	google	week	then	something	these	may	show	right	going	said	off	take	since	every	much	being	still	using	before	through	help	look	game	say	why	live	think	where	big	days	might	around	says	really	both	news	she	between	her	top	full	another	very	doesn	few	thing	things	does	better	did	story	keep	great	find	next	case	life	real	same	got	found	part	own	old	free	internet	home	without	app	always	number	high	used	end	open	man	getting	web	users	sure	data	let	change	during	different	already	city	page	ever	come	called	didn	enough	available	play	set	media	put	site	based	against	little	ago	finally	blog	working	company	including	times	future	hard	report	online	him	music	technology	away	almost	yet	team	information	com	isn	though	such	power	social	less	twitter	left	small	past	makes	start	across	again	version	million	shows	months	add	second	easy	five	business	actually	making	bit	photos	night	month	interesting	each	recent	space	nbsp	search	several	lot	done	single	once	doing	early	probably	state	phone	view	problem	coming	however	love	line	comes	won	never	give	everyone	create	design	gets	series	project	support	system	fact	means	car	family	latest	talk	money	public	taking	under	watch	told	youtube	went	must	far	book	experience	sometimes	america	point	list	call	link	email	security	buy	four	photo	step	within	website	simple	place	check	feel	instead	quite	via	mobile	facebook	control	build	itself	thought	hit	service	thanks	american	tuesday	source	released	comments	trying	user	run	black	idea	looking	seen	everything	seems	until	side	major	content	house	season	windows	become	product	images	rather	microsoft	name	image	science	bad	together	click	digital	reading	according	videos	center	took	someone	try	soon	ready	started	friends	features	important	least	games	given	able	group	share	ios	art	wednesday	process	likely	save	services	store	kind	earlier	obama	half	pretty	download	written	companies	behind	head	program	woman	example	continue	having	created	war	care	price	taken	believe	simply	release	network	morning	running	often	women	york	november	couple	stuff	apparently	update	links	special	party	needs	access	holiday	local	press	president	current	whole	community	stop	national	health	apps	feature	came	country	inside	screen	death	launched	takes	either	iphone	six	offer	along	note	weeks	favorite	complete	thinking	exactly	please	others	looks	writing	george	white	percent	lead	wants	worth	john	hand	close	amp	third	deal	among	later	school	goes	short	job	possible	states	results	street	official	near	software	designed	question	starting	red	recently	issues	devices	drive	large	android	government	interview	low	washington	anyone	shot	outside	nothing	class	whether	below	player	course	tools	word	law	dead	event	front	computer	text	longer	apple	words	saying	bottom	learn	test	drop	similar	lost	else	numbers	platform	nice	include	wasn	happy	developers	original	david	article	products	tell	maybe	understand	works	talking	color	face	announced	items	standard	terms	browser	launch	potential	general	fans	account
Teche Blogs	6	3	0	3	1	1	2	0	0	0	0	0	0	1	5	3	0	1	0	1	1	0	7	2	1	0	0	0	1	3	2	0	1	2	0	0	4	2	2	0	0	0	0	1	2	0	3	1	1	1	0	2	0	2	2	3	0	0	0	0	1	3	0	0	1	1	3	0	0	0	0	0	2	1	0	0	1	0	2	0	3	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	5	1	2	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	2	1	1	0	2	0	1	0	3	3	0	2	0	0	0	0	0	0	1	2	1	4	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0	1	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	2	0	0	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0
ESPN.com - NFL Nation	0	0	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	1	0	1	0	0	0	2	1	0	1	2	0	2	1	2	1	2	0	0	2	0	4	0	4	0	1	0	1	0	2	1	7	0	1	0	1	0	0	0	0	0	0	0	0	3	2	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	5	0	0	0	0	0	0	1	1	1	0	3	0	1	0	0	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wonkette	0	0	1	1	0	0	1	0	1	0	0	2	0	1	1	1	0	0	0	2	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	1	3	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Publishing 2.0	3	3	8	7	6	2	5	6	4	1	4	0	2	2	1	2	9	1	3	3	5	0	1	1	2	2	3	1	2	3	2	8	2	2	1	2	4	1	2	9	5	2	0	5	3	1	6	3	1	1	1	2	2	3	2	3	2	0	5	2	0	2	1	9	0	2	4	4	3	1	4	0	0	2	56	0	0	0	1	5	0	2	1	4	1	1	0	0	0	4	1	6	1	2	2	0	0	0	3	1	0	2	1	2	4	0	1	0	0	2	2	2	2	3	0	0	22	1	1	1	1	1	0	0	1	1	12	0	1	3	0	3	0	1	2	13	3	9	1	0	0	1	1	6	0	3	0	4	21	1	2	9	0	0	4	1	1	1	1	3	10	2	1	0	1	1	1	6	2	0	0	0	2	1	0	0	1	1	1	0	1	1	1	7	0	3	1	0	0	0	2	1	3	2	0	1	1	3	0	0	0	3	0	0	2	0	0	1	0	0	0	0	2	1	0	0	2	1	0	2	0	2	1	0	1	1	0	0	0	1	3	0	0	0	0	0	3	0	0	0	2	0	1	0	0	0	0	12	1	0	0	0	1	1	0	0	2	0	0	0	1	1	0	0	5	2	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	1	1	0	3	1	0	0	2	14	1	0	0	4	1	0	2	0	1	0	0	0	1	0	2	8	1	0	0	0	1	0	0	0	1	0	2	7	1	0	0	0	0	1	0	0	0	0	0	1	1	0	5	1	0	0	0	0	0	8	1	3	2	0	2	2	0	0	0	2	0	0	1	0	0	2	0	0	2	0	5	0	0	1	0	1	7	0	0	3	0	0	3	3	1	0	0	0	1	1	0	0	6	0	0	0	1	1	2	0	0	0	0	1	1	0	1	0	0	2	2	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	4	3	0	1	1	0	1	1	0	1	1	0	0	1	0	2	0	3	1	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	2	0	5	0	1	0	1	1	0	0	0	1	0	0	2	2	3	0	2	0	0
we make money not art	1	1	1	3	3	3	3	0	1	0	0	0	4	7	3	2	2	2	0	0	1	2	2	0	3	0	0	5	0	0	2	0	0	3	0	0	0	2	0	0	0	1	0	3	0	3	0	2	0	0	1	1	0	0	1	0	2	1	4	0	0	0	1	1	0	1	5	1	1	1	1	0	2	2	2	1	3	1	1	0	1	1	1	1	1	0	0	2	0	2	0	2	1	0	0	1	0	1	0	0	1	1	1	3	1	0	2	3	0	0	2	1	0	3	3	0	0	0	0	4	1	1	0	1	0	4	0	0	0	1	1	1	1	1	0	0	0	0	1	2	0	1	1	3	2	0	0	0	1	0	0	0	1	0	2	0	1	3	0	0	2	1	0	0	2	1	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	2	0	0	2	0	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	0	2	1	0	2	2	0	2	2	1	0	0	1	0	0	0	1	4	2	0	1	0	0	0	1	0	2	3	0	0	0	0	0	0	0	0	1	0	0	2	0	2	2	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	1	2	0	1	0	0	1	0	0	0	2	0	2	0	0	0	1	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	14	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	15	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	1	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	1	1	4	0	0	1	0	0	1	0	0	0	0	0	0	1
Joho the Blog	0	0	4	0	1	1	1	0	2	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	1	2	0	0	0	0	0	2	0	0	0	4	0	1	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	3	4	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	8	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WebmasterWorld	2	2	6	1	2	2	5	2	7	1	1	2	4	1	2	3	0	1	0	1	1	2	0	0	2	0	6	1	1	1	4	2	0	2	0	2	2	1	2	61	1	0	0	4	14	4	1	2	3	0	2	1	3	0	3	1	4	1	2	5	6	0	1	4	1	0	3	0	8	3	5	1	1	1	0	0	0	0	3	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	2	0	2	2	0	2	1	1	0	1	2	0	0	1	6	5	1	9	1	2	0	0	0	0	3	1	0	3	0	0	6	0	0	2	1	11	2	1	1	0	0	0	1	2	2	3	0	0	3	3	0	0	1	0	2	2	1	2	0	0	0	2	0	2	2	5	0	2	2	2	1	4	0	0	1	0	0	2	0	0	0	5	0	0	2	0	0	0	0	1	2	0	0	12	1	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	4	5	1	1	0	1	2	1	0	0	0	0	1	0	1	2	0	1	0	0	3	0	0	0	1	5	0	0	0	4	0	4	1	5	0	0	0	0	0	2	1	0	1	0	0	0	0	6	4	0	0	0	0	1	0	1	0	0	1	0	3	1	2	1	0	1	0	2	0	2	0	1	0	0	0	0	2	2	1	1	0	6	0	1	0	0	1	1	0	1	1	1	0	0	0	1	2	4	1	0	1	1	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	2	0	5	0	0	1	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	4	2	0	0	5	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	0	2	0	1	0	0	3	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	2	3	0	0	0	2	1	0	0	0	0	0	0	1	0	2	0	2	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	4
Web Science and Digital Libraries Research Group	39	21	74	52	38	34	6	12	43	16	19	40	18	54	35	34	34	26	16	23	23	24	32	13	10	16	18	28	7	14	25	24	10	15	10	15	18	11	8	21	8	45	4	41	22	12	20	12	29	11	11	12	7	23	21	12	60	7	40	20	10	2	3	13	8	15	40	39	6	16	12	1	9	13	12	65	39	42	11	8	25	21	4	14	8	21	17	13	11	6	14	14	12	46	15	2	10	15	8	22	15	13	21	8	46	5	7	3	8	12	6	26	15	14	3	8	170	33	7	142	8	21	14	36	5	9	55	3	5	10	2	12	30	5	25	16	5	13	34	3	7	2	9	27	6	5	13	2	16	4	30	8	2	6	9	7	4	2	17	56	51	2	3	21	8	46	6	16	5	13	13	5	7	4	5	29	3	6	5	8	28	7	7	7	1	6	11	3	2	0	13	25	7	4	820	12	11	6	12	15	3	8	9	5	26	2	8	21	3	8	3	8	3	7	8	8	11	24	6	5	5	36	24	37	1	18	0	0	2	22	0	16	2	5	6	1	3	15	5	5	10	4	2	2	18	11	1	70	3	2	0	5	2	5	6	7	8	9	6	0	12	4	16	25	9	8	5	4	4	2	13	3	1	1	12	3	2	5	61	3	3	7	5	2	4	4	12	4	4	80	2	4	0	3	6	17	9	8	2	13	21	1	10	12	105	7	1	2	6	5	3	8	6	4	33	2	11	8	0	1	16	19	29	5	2	7	1	11	3	1	12	11	2	12	2	5	1	8	7	4	9	3	5	0	40	4	8	33	2	6	0	2	4	5	5	8	7	10	5	37	5	1	6	3	1	2	24	6	2	8	33	0	8	4	7	31	4	11	1	16	2	0	5	4	0	2	4	2	0	2	7	1	0	0	10	3	0	3	6	6	1	6	7	1	2	5	6	1	2	0	6	3	7	13	15	10	2	4	8	1	2	15	2	6	2	28	0	0	8	17	2	14	2	11	2	4	0	7	15	3	1	0	6	4	2	1	2	3	4	1	10	0	6	21	2	1	1	5	2	11	16	9	0	6	7	2	5	3	0	3	5	3	0	1	4	11	1	0	4	34	7	8	1	4	2	3	11	3	6	1	4	3	6	4	4	0	3	2	3	2
News	1	1	0	0	2	0	1	1	0	1	0	0	1	0	1	0	0	1	0	0	1	2	0	0	0	0	0	1	1	0	1	3	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Kotaku	4	1	4	0	1	1	3	1	1	2	0	0	3	0	5	0	2	0	3	2	1	2	1	1	2	2	0	2	1	4	1	1	3	0	25	0	2	0	2	0	1	2	3	1	0	0	2	4	1	1	0	1	3	0	0	1	0	0	6	1	1	2	0	0	4	0	2	0	0	2	1	1	0	0	1	2	3	0	1	1	1	0	1	0	3	2	0	1	2	1	1	2	0	3	0	0	1	1	3	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	3	0	1	0	0	1	0	2	2	3	0	0	0	0	0	2	1	2	2	1	0	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	3	3	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	1	0	0	0	2	2	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	2	1	0	2	1	0	1	0	0	0	0	1	0	0	0	0	2	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	4	0	1	0	0	3	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	1	2	0	0	0	0	1	0	1	0	0	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
